price,quantity,type,timestamp
532.4,14213.9466,0,2022-05-21 22:20:31
532.3,7489.8621,0,2022-05-21 22:20:31
532.2,35482.5196,0,2022-05-21 22:20:31
532.1,10950.7403,0,2022-05-21 22:20:31
532.0,70516.2856,0,2022-05-21 22:20:31
532.7,26874.0972,1,2022-05-21 22:20:31
532.8,43558.617,1,2022-05-21 22:20:31
532.9,36290.7332,1,2022-05-21 22:20:31
533.0,6434.5686,1,2022-05-21 22:20:31
533.1,33691.2193,1,2022-05-21 22:20:31
532.4,59.3688,0,2022-05-21 22:20:34
532.3,7489.8621,0,2022-05-21 22:20:34
532.2,35482.5196,0,2022-05-21 22:20:34
532.1,10950.7403,0,2022-05-21 22:20:34
532.0,70516.2856,0,2022-05-21 22:20:34
532.7,26874.0972,1,2022-05-21 22:20:34
532.8,43558.617,1,2022-05-21 22:20:34
532.9,36290.7332,1,2022-05-21 22:20:34
533.0,6434.5686,1,2022-05-21 22:20:34
533.1,33691.2193,1,2022-05-21 22:20:34
532.4,59.3688,0,2022-05-21 22:20:36
532.3,7489.8621,0,2022-05-21 22:20:36
532.2,35482.5196,0,2022-05-21 22:20:36
532.1,10950.7403,0,2022-05-21 22:20:36
532.0,70516.2856,0,2022-05-21 22:20:36
532.7,26874.0972,1,2022-05-21 22:20:36
532.8,43558.617,1,2022-05-21 22:20:36
532.9,36290.7332,1,2022-05-21 22:20:36
533.0,6434.5686,1,2022-05-21 22:20:36
533.1,124247.4601,1,2022-05-21 22:20:36
532.4,59.3688,0,2022-05-21 22:20:38
532.3,7489.8621,0,2022-05-21 22:20:38
532.2,35482.5196,0,2022-05-21 22:20:38
532.1,10950.7403,0,2022-05-21 22:20:38
532.0,70516.2856,0,2022-05-21 22:20:38
532.7,26874.0972,1,2022-05-21 22:20:38
532.8,6035.1649,1,2022-05-21 22:20:38
532.9,73814.1853,1,2022-05-21 22:20:38
533.0,6434.5686,1,2022-05-21 22:20:38
533.1,124247.4601,1,2022-05-21 22:20:38
532.4,59.3688,0,2022-05-21 22:20:40
532.3,7489.8621,0,2022-05-21 22:20:40
532.2,35482.5196,0,2022-05-21 22:20:40
532.1,10950.7403,0,2022-05-21 22:20:40
532.0,70516.2856,0,2022-05-21 22:20:40
532.7,26874.0972,1,2022-05-21 22:20:40
532.8,6035.1649,1,2022-05-21 22:20:40
532.9,73814.1853,1,2022-05-21 22:20:40
533.0,6434.5686,1,2022-05-21 22:20:40
533.1,124247.4601,1,2022-05-21 22:20:40
532.4,59.3688,0,2022-05-21 22:20:42
532.3,7489.8621,0,2022-05-21 22:20:42
532.2,35482.5196,0,2022-05-21 22:20:42
532.1,10950.7403,0,2022-05-21 22:20:42
532.0,70516.2856,0,2022-05-21 22:20:42
532.7,26874.0972,1,2022-05-21 22:20:42
532.8,6035.1649,1,2022-05-21 22:20:42
532.9,73814.1853,1,2022-05-21 22:20:42
533.0,6434.5686,1,2022-05-21 22:20:42
533.1,124247.4601,1,2022-05-21 22:20:42
532.4,59.3688,0,2022-05-21 22:20:44
532.3,7489.8621,0,2022-05-21 22:20:44
532.2,35482.5196,0,2022-05-21 22:20:44
532.1,10950.7403,0,2022-05-21 22:20:44
532.0,70526.2856,0,2022-05-21 22:20:44
532.7,26874.0972,1,2022-05-21 22:20:44
532.8,6035.1649,1,2022-05-21 22:20:44
532.9,73814.1853,1,2022-05-21 22:20:44
533.0,6434.5686,1,2022-05-21 22:20:44
533.1,124247.4601,1,2022-05-21 22:20:44
532.4,59.3688,0,2022-05-21 22:20:47
532.3,7489.8621,0,2022-05-21 22:20:47
532.2,35482.5196,0,2022-05-21 22:20:47
